PaperCode, ProgramCode, Aaspirant, GEN-Quota, OBC-Quota, SC-Quota, ST-Quota, GEN-Pd-Quota, OBC-Pd-Quota, SC-Pd-Quota, ST-Pd-Quota
BL, 1101, 0, BL#4#3#3#1-5#0, BL#2#2#2#18-30#0, BL#1#1#1#23-23#0, BL#1#1#1#357-357#0, BL#0#0#0#0-0#0, BL#0#0#0#0-0#0, BL#0#0#0#0-0#0, BL#0#0#0#0-0#0
BL, 1210, 0, BL#2#2#2#32-44#0, BL#1#1#0#0-0#0, BL#0#0#0#0-0#0, BL#0#0#0#0-0#0, BL#0#0#0#0-0#0, BL#0#0#0#0-0#0, BL#0#0#0#0-0#0, BL#0#0#0#0-0#0
BT, 1101, 0, BT#4#4#4#5-18#0, BT#2#2#2#78-108#0, BT#1#1#1#54-54#0, BT#0#0#0#0-0#0, BT#0#0#0#0-0#0, BT#0#0#0#0-0#0, BT#0#0#0#0-0#0, BT#0#0#0#0-0#0
BT, 1204, 0, BT#14#14#14#1-26#0, BT#8#8#8#64-236#0, BT#4#4#4#131-236#0, BT#2#2#2#383-386#0, BT#0#0#0#0-0#0, BT#0#0#0#0-0#0, BT#0#0#0#0-0#0, BT#0#0#0#0-0#0
BT, 1210, 0, BT#2#2#2#24-26#0, BT#1#1#0#0-0#0, BT#0#0#0#0-0#0, BT#0#0#0#0-0#0, BT#0#0#0#0-0#0, BT#0#0#0#0-0#0, BT#0#0#0#0-0#0, BT#0#0#0#0-0#0
BT, 1213, 0, BT#3#3#2#40-95#0, BT#1#1#0#0-0#0, BT#0#0#0#0-0#0, BT#1#1#0#0-0#0, BT#0#0#0#0-0#0, BT#0#0#0#0-0#0, BT#0#0#0#0-0#0, BT#0#0#0#0-0#0
BT, 1802, 0, BT#18#18#18#23-50#0, BT#9#10#10#74-221#1, BT#6#6#6#130-462#0, BT#3#3#3#596-964#0, BT#0#0#0#0-0#0, BT#1#0#0#0-0#0, BT#0#0#0#0-0#0, BT#0#0#0#0-0#0
CY, 1102, 0, CY#8#8#8#4-53#0, CY#4#4#4#103-199#0, CY#2#2#2#177-566#0, CY#1#1#1#1627-1627#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0
CY, 1205, 0, CY#19#19#19#1-55#0, CY#11#11#11#59-308#0, CY#6#6#6#269-592#0, CY#3#3#3#980-2965#0, CY#1#1#1#661-661#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0
CY, 1210, 0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#1#1#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0
CY, 1211, 0, CY#3#3#3#83-127#0, CY#1#1#1#216-216#0, CY#1#1#1#537-537#0, CY#0#1#1#3616-3616#1, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#1#0#0#0-0#0
CY, 1212, 0, CY#4#4#4#241-392#0, CY#2#2#1#1192-1192#0, CY#0#1#1#2337-2337#1, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#1#0#0#0-0#0, CY#0#0#0#0-0#0
CY, 1213, 0, CY#1#1#1#472-472#0, CY#1#1#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0
CY, 1301, 0, CY#26#26#26#46-124#0, CY#14#14#14#142-428#0, CY#8#8#8#178-593#0, CY#4#4#4#1495-2497#0, CY#1#1#1#577-577#0, CY#1#1#1#1653-1653#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0
CY, 1401, 0, CY#24#22#22#109-184#0, CY#12#13#13#402-620#1, CY#7#7#7#602-1092#0, CY#4#4#4#840-3852#0, CY#0#0#0#0-0#0, CY#1#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0
CY, 1501, 0, CY#19#19#19#2-29#0, CY#11#11#11#65-416#0, CY#6#6#6#30-398#0, CY#3#3#3#2768-3201#0, CY#1#1#1#939-939#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0
CY, 1601, 0, CY#22#22#22#8-104#0, CY#12#12#12#163-431#0, CY#7#7#7#185-478#0, CY#4#4#4#2658-2934#0, CY#1#1#1#991-991#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0
CY, 1701, 0, CY#26#26#26#59-149#0, CY#14#15#15#219-537#1, CY#8#8#8#332-991#0, CY#4#4#4#2403-4488#0, CY#1#1#1#2228-2228#0, CY#1#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0
CY, 1803, 0, CY#13#13#13#96-157#0, CY#5#5#5#442-484#0, CY#4#4#4#701-945#0, CY#2#2#2#3048-3563#0, CY#0#0#0#0-0#0, CY#1#1#1#3760-3760#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0
CY, 1901, 0, CY#9#9#9#148-224#0, CY#5#5#5#597-690#0, CY#3#3#3#586-1175#0, CY#2#2#2#4010-4524#0, CY#1#1#1#3971-3971#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0
CY, 1905, 0, CY#1#1#1#216-216#0, CY#1#1#1#784-784#0, CY#1#1#1#1483-1483#0, CY#1#1#1#3823-3823#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0
CY, 2001, 0, CY#10#10#10#204-237#0, CY#5#5#5#593-675#0, CY#3#3#3#1009-1132#0, CY#2#2#2#4261-4572#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0
CY, 2101, 0, CY#15#15#15#185-209#0, CY#7#8#8#537-649#1, CY#5#5#5#1100-1216#0, CY#2#2#1#3971-3971#0, CY#0#0#0#0-0#0, CY#1#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0
CY, 2201, 0, CY#6#6#6#185-240#0, CY#3#3#3#675-694#0, CY#2#2#2#1236-1245#0, CY#1#1#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0
CY, 2302, 0, CY#5#5#5#196-246#0, CY#3#3#3#507-718#0, CY#2#2#2#918-968#0, CY#1#1#0#0-0#0, CY#1#1#1#4030-4030#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0
CY, 2401, 0, CY#5#5#5#241-250#0, CY#2#2#2#597-700#0, CY#1#1#1#1117-1117#0, CY#1#1#0#0-0#0, CY#1#1#1#4111-4111#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0, CY#0#0#0#0-0#0
GG, 1201, 0, GG#15#15#15#1-16#0, GG#8#8#8#17-52#0, GG#5#5#5#60-163#0, GG#2#2#2#352-521#0, GG#0#0#0#0-0#0, GG#0#0#0#0-0#0, GG#0#0#0#0-0#0, GG#0#0#0#0-0#0
GG, 1208, 0, GG#2#2#2#21-23#0, GG#0#1#1#55-55#1, GG#1#1#0#0-0#0, GG#0#0#0#0-0#0, GG#0#0#0#0-0#0, GG#1#0#0#0-0#0, GG#0#0#0#0-0#0, GG#0#0#0#0-0#0
GG, 1602, 0, GG#14#14#14#6-37#0, GG#8#8#8#53-72#0, GG#5#5#5#135-276#0, GG#2#2#2#568-673#0, GG#1#1#1#297-297#0, GG#0#0#0#0-0#0, GG#0#0#0#0-0#0, GG#0#0#0#0-0#0
GG, 1605, 0, GG#6#6#6#43-90#0, GG#3#3#3#121-158#0, GG#2#2#2#348-370#0, GG#1#1#1#641-641#0, GG#0#0#0#0-0#0, GG#0#0#0#0-0#0, GG#0#0#0#0-0#0, GG#0#0#0#0-0#0
GG, 1801, 0, GG#8#8#8#22-43#0, GG#3#3#3#79-80#0, GG#2#2#2#241-261#0, GG#1#1#1#788-788#0, GG#0#0#0#0-0#0, GG#1#1#1#363-363#0, GG#0#0#0#0-0#0, GG#0#0#0#0-0#0
GG, 1904, 0, GG#10#10#10#48-67#0, GG#5#5#5#85-114#0, GG#3#3#3#309-432#0, GG#2#2#2#786-801#0, GG#0#0#0#0-0#0, GG#0#0#0#0-0#0, GG#0#0#0#0-0#0, GG#0#0#0#0-0#0
GG, 1905, 0, GG#3#3#3#83-97#0, GG#1#1#1#117-117#0, GG#0#0#0#0-0#0, GG#0#0#0#0-0#0, GG#0#0#0#0-0#0, GG#0#0#0#0-0#0, GG#0#0#0#0-0#0, GG#0#0#0#0-0#0
MA, 1103, 0, MA#5#6#6#5-48#1, MA#3#3#0#0-0#0, MA#2#2#0#0-0#0, MA#1#1#0#0-0#0, MA#1#0#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0
MA, 1206, 0, MA#15#15#15#9-28#0, MA#8#8#8#35-136#0, MA#5#5#5#32-202#0, MA#2#2#2#179-1018#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0
MA, 1212, 0, MA#1#1#1#497-497#0, MA#2#2#1#998-998#0, MA#1#1#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0
MA, 1213, 0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0, MA#1#1#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0
MA, 1214, 0, MA#3#3#3#55-73#0, MA#2#2#2#136-190#0, MA#0#0#0#0-0#0, MA#1#1#1#873-873#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0
MA, 1302, 0, MA#26#26#26#1-96#0, MA#15#15#15#121-263#0, MA#7#8#8#181-562#1, MA#4#4#4#128-901#0, MA#1#1#1#1632-1632#0, MA#0#0#0#0-0#0, MA#1#0#0#0-0#0, MA#0#0#0#0-0#0
MA, 1402, 0, MA#23#23#23#112-229#0, MA#13#13#13#333-438#0, MA#6#7#7#1030-1444#0, MA#4#4#4#1521-2622#0, MA#1#1#1#3094-3094#0, MA#0#0#0#0-0#0, MA#1#0#0#0-0#0, MA#0#0#0#0-0#0
MA, 1502, 0, MA#20#20#20#29-100#0, MA#11#11#11#140-229#0, MA#5#5#5#157-350#0, MA#3#3#3#1645-2238#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0, MA#1#1#1#1214-1214#0, MA#0#0#0#0-0#0
MA, 1603, 0, MA#15#15#15#39-183#0, MA#8#8#8#295-370#0, MA#4#5#5#718-932#1, MA#2#2#2#1126-1153#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0, MA#1#0#0#0-0#0, MA#0#0#0#0-0#0
MA, 1702, 0, MA#26#26#26#51-163#0, MA#14#15#15#256-370#1, MA#8#8#8#370-1166#0, MA#4#4#4#2219-3727#0, MA#1#1#1#1321-1321#0, MA#1#0#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0
MA, 1804, 0, MA#16#15#15#101-194#0, MA#7#8#8#268-327#1, MA#4#4#4#737-886#0, MA#2#2#2#1645-1747#0, MA#0#0#0#0-0#0, MA#1#0#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0
MA, 1902, 0, MA#10#10#10#129-279#0, MA#4#5#5#332-468#1, MA#3#3#3#398-1099#0, MA#2#2#2#1207-1605#0, MA#0#0#0#0-0#0, MA#1#0#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0
MA, 1905, 0, MA#2#2#2#288-301#0, MA#1#1#1#497-497#0, MA#1#1#1#1506-1506#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0
MA, 2002, 0, MA#9#9#9#85-248#0, MA#5#5#5#415-447#0, MA#3#3#3#1066-1423#0, MA#2#2#2#3525-3641#0, MA#1#1#1#1939-1939#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0
MA, 2102, 0, MA#7#7#7#217-247#0, MA#4#4#4#389-461#0, MA#2#2#2#1347-1423#0, MA#1#1#1#3707-3707#0, MA#1#1#1#3189-3189#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0
MA, 2203, 0, MA#6#6#6#198-281#0, MA#3#3#3#485-485#0, MA#2#2#2#1146-1184#0, MA#1#1#1#2557-2557#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0
MA, 2301, 0, MA#5#5#5#228-265#0, MA#2#3#3#370-467#1, MA#1#1#1#901-901#0, MA#1#1#1#3282-3282#0, MA#0#0#0#0-0#0, MA#1#0#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0
MA, 2403, 0, MA#5#5#5#232-284#0, MA#2#2#2#490-490#0, MA#1#1#1#1120-1120#0, MA#1#1#1#1539-1539#0, MA#1#1#1#2285-2285#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0, MA#0#0#0#0-0#0
MS, 1203, 0, MS#18#18#18#3-45#0, MS#10#10#10#180-308#0, MS#5#5#5#60-233#0, MS#3#3#1#240-240#0, MS#1#1#1#763-763#0, MS#0#0#0#0-0#0, MS#0#0#0#0-0#0, MS#0#0#0#0-0#0
MS, 1214, 0, MS#3#3#3#51-53#0, MS#2#2#2#260-276#0, MS#1#1#1#303-303#0, MS#0#0#0#0-0#0, MS#0#0#0#0-0#0, MS#0#0#0#0-0#0, MS#0#0#0#0-0#0, MS#0#0#0#0-0#0
MS, 1504, 0, MS#24#25#25#1-49#0, MS#14#14#14#50-293#0, MS#7#7#7#144-551#0, MS#4#4#4#665-918#0, MS#1#0#0#0-0#0, MS#0#0#0#0-0#0, MS#0#0#0#0-0#0, MS#0#0#0#0-0#0
MS, 1905, 0, MS#1#1#1#56-56#0, MS#1#1#1#324-324#0, MS#1#1#1#467-467#0, MS#1#1#0#0-0#0, MS#0#0#0#0-0#0, MS#0#0#0#0-0#0, MS#0#0#0#0-0#0, MS#0#0#0#0-0#0
PH, 1104, 0, PH#6#6#6#16-50#0, PH#3#3#1#201-201#0, PH#2#2#1#191-191#0, PH#1#1#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0
PH, 1202, 0, PH#8#8#8#33-131#0, PH#5#5#5#139-384#0, PH#2#2#2#367-499#0, PH#1#1#1#2586-2586#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0
PH, 1207, 0, PH#15#15#15#4-53#0, PH#8#8#8#157-349#0, PH#5#5#5#533-877#0, PH#3#3#3#1885-2374#0, PH#1#1#1#4634-4634#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0
PH, 1209, 0, PH#1#2#0#0-0#0, PH#1#1#0#0-0#0, PH#1#1#0#0-0#0, PH#0#0#0#0-0#0, PH#1#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0
PH, 1210, 0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#1#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#1#0#0#0-0#0
PH, 1212, 0, PH#4#4#4#305-347#0, PH#1#1#0#0-0#0, PH#1#1#0#0-0#0, PH#1#1#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0
PH, 1213, 0, PH#1#1#1#373-373#0, PH#1#1#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0
PH, 1215, 0, PH#4#4#4#39-99#0, PH#2#2#2#147-472#0, PH#1#1#1#313-313#0, PH#1#1#1#2633-2633#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0
PH, 1216, 0, PH#4#4#4#50-230#0, PH#2#2#2#305-425#0, PH#1#1#1#1243-1243#0, PH#0#1#1#1390-1390#1, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#1#0#0#0-0#0
PH, 1303, 0, PH#26#26#26#15-156#0, PH#15#15#15#165-420#0, PH#8#8#8#301-1221#0, PH#3#4#4#1198-2351#1, PH#1#1#1#3294-3294#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#1#0#0#0-0#0
PH, 1403, 0, PH#23#21#21#111-230#0, PH#13#13#13#552-641#0, PH#7#7#7#607-1334#0, PH#4#4#4#2479-3023#0, PH#1#1#1#3692-3692#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0
PH, 1503, 0, PH#15#15#15#1-72#0, PH#7#8#8#73-144#1, PH#5#5#5#93-414#0, PH#2#2#2#1554-2266#0, PH#0#0#0#0-0#0, PH#1#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0
PH, 1505, 0, PH#7#7#7#68-162#0, PH#4#4#1#166-166#0, PH#2#2#0#0-0#0, PH#1#1#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0
PH, 1604, 0, PH#23#21#21#20-164#0, PH#11#12#12#217-493#1, PH#7#7#7#441-902#0, PH#4#4#4#393-2464#0, PH#0#0#0#0-0#0, PH#1#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0
PH, 1605, 0, PH#5#6#6#140-246#1, PH#3#3#3#631-663#0, PH#2#2#2#952-1640#0, PH#1#1#1#2400-2400#0, PH#1#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0
PH, 1703, 0, PH#21#21#21#80-184#0, PH#12#12#12#246-595#0, PH#7#7#7#999-1467#0, PH#3#3#3#2466-2580#0, PH#1#1#1#4670-4670#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0
PH, 1805, 0, PH#13#13#13#178-210#0, PH#5#5#5#219-470#0, PH#4#4#4#339-1278#0, PH#2#2#2#2479-2682#0, PH#0#0#0#0-0#0, PH#1#1#1#1222-1222#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0
PH, 1903, 0, PH#10#10#10#235-304#0, PH#5#5#5#572-658#0, PH#2#3#3#1449-1583#0, PH#2#2#2#3091-3138#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#1#0#0#0-0#0, PH#0#0#0#0-0#0
PH, 1905, 0, PH#3#3#3#314-329#0, PH#1#1#1#669-669#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0
PH, 2003, 0, PH#4#4#4#135-287#0, PH#3#3#3#630-690#0, PH#2#1#1#1608-1608#0, PH#1#1#1#3288-3288#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0
PH, 2103, 0, PH#10#10#10#187-263#0, PH#5#5#5#410-715#0, PH#3#3#3#1184-1467#0, PH#2#2#2#2715-3032#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0
PH, 2202, 0, PH#6#6#6#235-276#0, PH#3#3#3#641-690#0, PH#2#2#2#1463-1509#0, PH#1#1#1#3415-3415#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0
PH, 2303, 0, PH#5#5#5#316-325#0, PH#3#3#3#647-715#0, PH#0#1#1#1438-1438#1, PH#1#1#1#3138-3138#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#1#0#0#0-0#0, PH#0#0#0#0-0#0
PH, 2402, 0, PH#5#5#5#318-334#0, PH#2#2#2#552-651#0, PH#1#0#0#0-0#0, PH#1#1#1#3415-3415#0, PH#1#1#1#4910-4910#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0, PH#0#0#0#0-0#0
